src,dst
R-HSA-166058|MyD88:MAL(TIRAP) cascade initiated on plasma membrane,R-HSA-445989|TAK1-dependent IKK and NF-kappa-B activation  
R-HSA-166058|MyD88:MAL(TIRAP) cascade initiated on plasma membrane,R-HSA-450294|MAP kinase activation
R-HSA-1660662|Glycosphingolipid metabolism,R-HSA-9840310|Glycosphingolipid catabolism
R-HSA-166166|MyD88-independent TLR4 cascade ,R-HSA-937061|TRIF (TICAM1)-mediated TLR4 signaling 
R-HSA-166520|Signaling by NTRKs,R-HSA-187037|Signaling by NTRK1 (TRKA)
R-HSA-166520|Signaling by NTRKs,R-HSA-9006115|Signaling by NTRK2 (TRKB)
R-HSA-166658|Complement cascade,R-HSA-166663|Initial triggering of complement
R-HSA-166658|Complement cascade,R-HSA-977606|Regulation of Complement cascade
R-HSA-167172|Transcription of the HIV genome,R-HSA-167161|HIV Transcription Initiation
R-HSA-167172|Transcription of the HIV genome,R-HSA-167162|RNA Polymerase II HIV Promoter Escape
R-HSA-168138|Toll Like Receptor 9 (TLR9) Cascade,R-HSA-975155|MyD88 dependent cascade initiated on endosome
R-HSA-168142|Toll Like Receptor 10 (TLR10) Cascade,R-HSA-975871|MyD88 cascade initiated on plasma membrane
R-HSA-168164|Toll Like Receptor 3 (TLR3) Cascade,R-HSA-445989|TAK1-dependent IKK and NF-kappa-B activation  
R-HSA-168164|Toll Like Receptor 3 (TLR3) Cascade,R-HSA-450294|MAP kinase activation
R-HSA-168164|Toll Like Receptor 3 (TLR3) Cascade,R-HSA-9013973|TICAM1-dependent activation of IRF3/IRF7
R-HSA-168176|Toll Like Receptor 5 (TLR5) Cascade,R-HSA-975871|MyD88 cascade initiated on plasma membrane
R-HSA-168179|Toll Like Receptor TLR1:TLR2 Cascade,R-HSA-166058|MyD88:MAL(TIRAP) cascade initiated on plasma membrane
R-HSA-168181|Toll Like Receptor 7/8 (TLR7/8) Cascade,R-HSA-975155|MyD88 dependent cascade initiated on endosome
R-HSA-168188|Toll Like Receptor TLR6:TLR2 Cascade,R-HSA-166058|MyD88:MAL(TIRAP) cascade initiated on plasma membrane
R-HSA-168255|Influenza Infection,R-HSA-168273|Influenza Viral RNA Transcription and Replication
R-HSA-168255|Influenza Infection,R-HSA-168274|Export of Viral Ribonucleoproteins from Nucleus
R-HSA-168255|Influenza Infection,R-HSA-168276|NS1 Mediated Effects on Host Pathways
R-HSA-168273|Influenza Viral RNA Transcription and Replication,R-HSA-168325|Viral Messenger RNA Synthesis
R-HSA-168273|Influenza Viral RNA Transcription and Replication,R-HSA-192823|Viral mRNA Translation
R-HSA-168274|Export of Viral Ribonucleoproteins from Nucleus,R-HSA-168333|NEP/NS2 Interacts with the Cellular Export Machinery
"R-HSA-168643|Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",R-HSA-168638|NOD1/2 Signaling Pathway
"R-HSA-168643|Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",R-HSA-622312|Inflammasomes
R-HSA-168898|Toll-like Receptor Cascades,R-HSA-166016|Toll Like Receptor 4 (TLR4) Cascade
R-HSA-168898|Toll-like Receptor Cascades,R-HSA-1679131|Trafficking and processing of endosomal TLR
R-HSA-168898|Toll-like Receptor Cascades,R-HSA-168138|Toll Like Receptor 9 (TLR9) Cascade
R-HSA-168898|Toll-like Receptor Cascades,R-HSA-168142|Toll Like Receptor 10 (TLR10) Cascade
R-HSA-168898|Toll-like Receptor Cascades,R-HSA-168164|Toll Like Receptor 3 (TLR3) Cascade
R-HSA-168898|Toll-like Receptor Cascades,R-HSA-168176|Toll Like Receptor 5 (TLR5) Cascade
R-HSA-168898|Toll-like Receptor Cascades,R-HSA-168181|Toll Like Receptor 7/8 (TLR7/8) Cascade
R-HSA-168898|Toll-like Receptor Cascades,R-HSA-181438|Toll Like Receptor 2 (TLR2) Cascade
R-HSA-168898|Toll-like Receptor Cascades,R-HSA-5686938|Regulation of TLR by endogenous ligand
R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta,R-HSA-918233|TRAF3-dependent IRF activation pathway
R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta,R-HSA-933541|TRAF6 mediated IRF7 activation
R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta,R-HSA-933542|TRAF6 mediated NF-kB activation
R-HSA-168928|DDX58/IFIH1-mediated induction of interferon-alpha/beta,R-HSA-936440|Negative regulators of DDX58/IFIH1 signaling
R-HSA-169911|Regulation of Apoptosis,R-HSA-211733|Regulation of activated PAK-2p34 by proteasome mediated degradation
R-HSA-170834|Signaling by TGF-beta Receptor Complex,R-HSA-2173789|TGF-beta receptor signaling activates SMADs
R-HSA-170834|Signaling by TGF-beta Receptor Complex,R-HSA-2173793|Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer
R-HSA-174143|APC/C-mediated degradation of cell cycle proteins,R-HSA-174084|Autodegradation of Cdh1 by Cdh1:APC/C
R-HSA-174143|APC/C-mediated degradation of cell cycle proteins,R-HSA-174178|APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
R-HSA-174143|APC/C-mediated degradation of cell cycle proteins,R-HSA-176408|Regulation of APC/C activators between G1/S and early anaphase
R-HSA-174143|APC/C-mediated degradation of cell cycle proteins,R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins
R-HSA-174414|Processive synthesis on the C-strand of the telomere,R-HSA-174437|Removal of the Flap Intermediate from the C-strand
R-HSA-174417|Telomere C-strand (Lagging Strand) Synthesis,R-HSA-174411|Polymerase switching on the C-strand of the telomere
R-HSA-174417|Telomere C-strand (Lagging Strand) Synthesis,R-HSA-174414|Processive synthesis on the C-strand of the telomere
"R-HSA-174824|Plasma lipoprotein assembly, remodeling, and clearance",R-HSA-8963898|Plasma lipoprotein assembly
"R-HSA-174824|Plasma lipoprotein assembly, remodeling, and clearance",R-HSA-8963899|Plasma lipoprotein remodeling
"R-HSA-174824|Plasma lipoprotein assembly, remodeling, and clearance",R-HSA-8964043|Plasma lipoprotein clearance
R-HSA-176033|Interactions of Vpr with host cellular proteins,R-HSA-180910|Vpr-mediated nuclear import of PICs
R-HSA-176408|Regulation of APC/C activators between G1/S and early anaphase,R-HSA-141405|Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components
R-HSA-176408|Regulation of APC/C activators between G1/S and early anaphase,R-HSA-174113|SCF-beta-TrCP mediated degradation of Emi1
R-HSA-176408|Regulation of APC/C activators between G1/S and early anaphase,R-HSA-176417|Phosphorylation of Emi1
R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins,R-HSA-174048|APC/C:Cdc20 mediated degradation of Cyclin B
R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins,R-HSA-174154|APC/C:Cdc20 mediated degradation of Securin
R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins,R-HSA-179419|APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint
R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,R-HSA-176409|APC/C:Cdc20 mediated degradation of mitotic proteins
R-HSA-176814|Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,R-HSA-176412|Phosphorylation of the APC/C
R-HSA-177243|Interactions of Rev with host cellular proteins,R-HSA-165054|Rev-mediated nuclear export of HIV RNA
R-HSA-177243|Interactions of Rev with host cellular proteins,R-HSA-180746|Nuclear import of Rev protein
R-HSA-177929|Signaling by EGFR,R-HSA-180292|GAB1 signalosome
