src,dst
R-HSA-73887|Death Receptor Signaling,R-HSA-75158|TRAIL  signaling
R-HSA-73887|Death Receptor Signaling,R-HSA-75893|TNF signaling
R-HSA-73893|DNA Damage Bypass,R-HSA-110313|Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template
R-HSA-73893|DNA Damage Bypass,R-HSA-110314|Recognition of DNA damage by PCNA-containing replication complex
R-HSA-73894|DNA Repair,R-HSA-5693532|DNA Double-Strand Break Repair
R-HSA-73894|DNA Repair,R-HSA-5696398|Nucleotide Excision Repair
R-HSA-73894|DNA Repair,R-HSA-6783310|Fanconi Anemia Pathway
R-HSA-73894|DNA Repair,R-HSA-73884|Base Excision Repair
R-HSA-73894|DNA Repair,R-HSA-73893|DNA Damage Bypass
R-HSA-73928|Depyrimidination,R-HSA-110328|Recognition and association of DNA glycosylase with site containing an affected pyrimidine
R-HSA-73928|Depyrimidination,R-HSA-110329|Cleavage of the damaged pyrimidine 
"R-HSA-73929|Base-Excision Repair, AP Site Formation",R-HSA-73928|Depyrimidination
R-HSA-73933|Resolution of Abasic Sites (AP sites),R-HSA-110373|Resolution of AP sites via the multiple-nucleotide patch replacement pathway
R-HSA-74158|RNA Polymerase III Transcription,R-HSA-749476|RNA Polymerase III Abortive And Retractive Initiation
R-HSA-74158|RNA Polymerase III Transcription,R-HSA-76046|RNA Polymerase III Transcription Initiation
R-HSA-74751|Insulin receptor signalling cascade,R-HSA-112399|IRS-mediated signalling
R-HSA-74752|Signaling by Insulin receptor,R-HSA-74751|Insulin receptor signalling cascade
R-HSA-74752|Signaling by Insulin receptor,R-HSA-77387|Insulin receptor recycling
R-HSA-75105|Fatty acyl-CoA biosynthesis,R-HSA-75876|Synthesis of very long-chain fatty acyl-CoAs
R-HSA-75153|Apoptotic execution phase,R-HSA-111465|Apoptotic cleavage of cellular proteins
R-HSA-75893|TNF signaling,R-HSA-5357786|TNFR1-induced proapoptotic signaling
R-HSA-75893|TNF signaling,R-HSA-5357905|Regulation of TNFR1 signaling
R-HSA-75893|TNF signaling,R-HSA-5357956|TNFR1-induced NF-kappa-B signaling pathway
R-HSA-75955|RNA Polymerase II Transcription Elongation,R-HSA-112382|Formation of RNA Pol II elongation complex 
"R-HSA-76002|Platelet activation, signaling and aggregation",R-HSA-114508|Effects of PIP2 hydrolysis
"R-HSA-76002|Platelet activation, signaling and aggregation",R-HSA-114604|GPVI-mediated activation cascade
"R-HSA-76002|Platelet activation, signaling and aggregation",R-HSA-392518|Signal amplification
"R-HSA-76002|Platelet activation, signaling and aggregation",R-HSA-456926|Thrombin signalling through proteinase activated receptors (PARs)
"R-HSA-76002|Platelet activation, signaling and aggregation",R-HSA-76005|Response to elevated platelet cytosolic Ca2+
"R-HSA-76002|Platelet activation, signaling and aggregation",R-HSA-76009|Platelet Aggregation (Plug Formation)
R-HSA-76005|Response to elevated platelet cytosolic Ca2+,R-HSA-114608|Platelet degranulation 
R-HSA-76009|Platelet Aggregation (Plug Formation),R-HSA-354192|Integrin signaling
R-HSA-76042|RNA Polymerase II Transcription Initiation And Promoter Clearance,R-HSA-73776|RNA Polymerase II Promoter Escape
R-HSA-76042|RNA Polymerase II Transcription Initiation And Promoter Clearance,R-HSA-75953|RNA Polymerase II Transcription Initiation
R-HSA-76046|RNA Polymerase III Transcription Initiation,R-HSA-76071|RNA Polymerase III Transcription Initiation From Type 3 Promoter
R-HSA-774815|Nucleosome assembly,R-HSA-606279|Deposition of new CENPA-containing nucleosomes at the centromere
R-HSA-877300|Interferon gamma signaling,R-HSA-877312|Regulation of IFNG signaling
R-HSA-8848021|Signaling by PTK6,R-HSA-8847993|ERBB2 Activates PTK6 Signaling
R-HSA-8852135|Protein ubiquitination,R-HSA-8866652|Synthesis of active ubiquitin: roles of E1 and E2 enzymes
R-HSA-8852135|Protein ubiquitination,R-HSA-8866654|E3 ubiquitin ligases ubiquitinate target proteins
R-HSA-8856688|Golgi-to-ER retrograde transport,R-HSA-6811434|COPI-dependent Golgi-to-ER retrograde traffic
R-HSA-8856688|Golgi-to-ER retrograde transport,R-HSA-6811436|COPI-independent Golgi-to-ER retrograde traffic
R-HSA-8856828|Clathrin-mediated endocytosis,R-HSA-8856825|Cargo recognition for clathrin-mediated endocytosis
R-HSA-8863678|Neurodegenerative Diseases,R-HSA-8862803|Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models
R-HSA-8864260|Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors,R-HSA-8866910|TFAP2 (AP-2) family regulates transcription of growth factors and their receptors
R-HSA-8868773|rRNA processing in the nucleus and cytosol,R-HSA-6790901|rRNA modification in the nucleus and cytosol
R-HSA-8868773|rRNA processing in the nucleus and cytosol,R-HSA-6791226|Major pathway of rRNA processing in the nucleolus and cytosol
R-HSA-8875878|MET promotes cell motility,R-HSA-8874081|MET activates PTK2 signaling
R-HSA-8876384|Listeria monocytogenes entry into host cells,R-HSA-8875360|InlB-mediated entry of Listeria monocytogenes into host cell
R-HSA-8878159|Transcriptional regulation by RUNX3,R-HSA-8941855|RUNX3 regulates CDKN1A transcription
R-HSA-8878159|Transcriptional regulation by RUNX3,R-HSA-8941856|RUNX3 regulates NOTCH signaling
R-HSA-8878159|Transcriptional regulation by RUNX3,R-HSA-8941858|Regulation of RUNX3 expression and activity
R-HSA-8878159|Transcriptional regulation by RUNX3,R-HSA-8951936|RUNX3 regulates p14-ARF
R-HSA-8878166|Transcriptional regulation by RUNX2,R-HSA-8939902|Regulation of RUNX2 expression and activity
R-HSA-8878166|Transcriptional regulation by RUNX2,R-HSA-8941326|RUNX2 regulates bone development
R-HSA-8878171|Transcriptional regulation by RUNX1,R-HSA-8934593|Regulation of RUNX1 Expression and Activity
R-HSA-8878171|Transcriptional regulation by RUNX1,R-HSA-8936459|RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function
R-HSA-8878171|Transcriptional regulation by RUNX1,R-HSA-8939236|RUNX1 regulates transcription of genes involved in differentiation of HSCs
R-HSA-8878171|Transcriptional regulation by RUNX1,R-HSA-8939242|RUNX1 regulates transcription of genes involved in differentiation of keratinocytes
R-HSA-8878171|Transcriptional regulation by RUNX1,R-HSA-8939243|RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known
R-HSA-8878171|Transcriptional regulation by RUNX1,R-HSA-8939246|RUNX1 regulates transcription of genes involved in differentiation of myeloid cells
R-HSA-8939211|ESR-mediated signaling,R-HSA-9009391|Extra-nuclear estrogen signaling
R-HSA-8939211|ESR-mediated signaling,R-HSA-9018519|Estrogen-dependent gene expression
R-HSA-8941326|RUNX2 regulates bone development,R-HSA-8940973|RUNX2 regulates osteoblast differentiation
R-HSA-8943723|Regulation of PTEN mRNA translation,R-HSA-8948700|Competing endogenous RNAs (ceRNAs) regulate PTEN translation
R-HSA-8953854|Metabolism of RNA,R-HSA-429914|Deadenylation-dependent mRNA decay
R-HSA-8953854|Metabolism of RNA,R-HSA-450531|Regulation of mRNA stability by proteins that bind AU-rich elements
R-HSA-8953854|Metabolism of RNA,R-HSA-72203|Processing of Capped Intron-Containing Pre-mRNA
R-HSA-8953854|Metabolism of RNA,R-HSA-72306|tRNA processing
R-HSA-8953854|Metabolism of RNA,R-HSA-72312|rRNA processing
R-HSA-8953854|Metabolism of RNA,R-HSA-927802|Nonsense-Mediated Decay (NMD)
R-HSA-8953854|Metabolism of RNA,R-HSA-9930044|Nuclear RNA decay
R-HSA-8957322|Metabolism of steroids,R-HSA-1655829|Regulation of cholesterol biosynthesis by SREBP (SREBF)
R-HSA-8957322|Metabolism of steroids,R-HSA-191273|Cholesterol biosynthesis
R-HSA-8957322|Metabolism of steroids,R-HSA-194068|Bile acid and bile salt metabolism
R-HSA-8957322|Metabolism of steroids,R-HSA-196071|Metabolism of steroid hormones
R-HSA-8978868|Fatty acid metabolism,R-HSA-2142753|Arachidonate metabolism
R-HSA-8978868|Fatty acid metabolism,R-HSA-390918|Peroxisomal lipid metabolism
R-HSA-8978868|Fatty acid metabolism,R-HSA-75105|Fatty acyl-CoA biosynthesis
R-HSA-8978868|Fatty acid metabolism,R-HSA-77289|Mitochondrial Fatty Acid Beta-Oxidation
R-HSA-8979227|Triglyceride metabolism,R-HSA-163560|Triglyceride catabolism
R-HSA-8986944|Transcriptional Regulation by MECP2,R-HSA-9022692|Regulation of MECP2 expression and activity
R-HSA-9006925|Intracellular signaling by second messengers,R-HSA-1257604|PIP3 activates AKT signaling
R-HSA-9006925|Intracellular signaling by second messengers,R-HSA-1489509|DAG and IP3 signaling
R-HSA-9006927|Signaling by Non-Receptor Tyrosine Kinases,R-HSA-8848021|Signaling by PTK6
R-HSA-9006931|Signaling by Nuclear Receptors,R-HSA-5362517|Signaling by Retinoic Acid
R-HSA-9006931|Signaling by Nuclear Receptors,R-HSA-8939211|ESR-mediated signaling
R-HSA-9006931|Signaling by Nuclear Receptors,R-HSA-9024446|NR1H2 and NR1H3-mediated signaling
R-HSA-9006934|Signaling by Receptor Tyrosine Kinases,R-HSA-1227986|Signaling by ERBB2
R-HSA-9006934|Signaling by Receptor Tyrosine Kinases,R-HSA-1236394|Signaling by ERBB4
R-HSA-9006934|Signaling by Receptor Tyrosine Kinases,R-HSA-1433557|Signaling by SCF-KIT
R-HSA-9006934|Signaling by Receptor Tyrosine Kinases,R-HSA-166520|Signaling by NTRKs
R-HSA-9006934|Signaling by Receptor Tyrosine Kinases,R-HSA-177929|Signaling by EGFR
R-HSA-9006934|Signaling by Receptor Tyrosine Kinases,R-HSA-186797|Signaling by PDGF
R-HSA-9006934|Signaling by Receptor Tyrosine Kinases,R-HSA-190236|Signaling by FGFR
R-HSA-9006934|Signaling by Receptor Tyrosine Kinases,R-HSA-194138|Signaling by VEGF
R-HSA-9006934|Signaling by Receptor Tyrosine Kinases,R-HSA-201556|Signaling by ALK
R-HSA-9006934|Signaling by Receptor Tyrosine Kinases,R-HSA-2404192|Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
R-HSA-9006934|Signaling by Receptor Tyrosine Kinases,R-HSA-6806834|Signaling by MET
R-HSA-9006934|Signaling by Receptor Tyrosine Kinases,R-HSA-74752|Signaling by Insulin receptor
R-HSA-9006936|Signaling by TGFB family members,R-HSA-1502540|Signaling by Activin
R-HSA-9006936|Signaling by TGFB family members,R-HSA-170834|Signaling by TGF-beta Receptor Complex
R-HSA-9006936|Signaling by TGFB family members,R-HSA-201451|Signaling by BMP
R-HSA-9006936|Signaling by TGFB family members,R-HSA-9839373|Signaling by TGFBR3
R-HSA-9007101|Rab regulation of trafficking,R-HSA-8854214|TBC/RABGAPs
R-HSA-9007101|Rab regulation of trafficking,R-HSA-8876198|RAB GEFs exchange GTP for GDP on RABs
R-HSA-9009391|Extra-nuclear estrogen signaling,R-HSA-9634638|Estrogen-dependent nuclear events downstream of ESR-membrane signaling
R-HSA-901042|Calnexin/calreticulin cycle,R-HSA-901032|ER Quality Control Compartment (ERQC)
R-HSA-9012852|Signaling by NOTCH3,R-HSA-9013507|NOTCH3 Activation and Transmission of Signal to the Nucleus
R-HSA-9012852|Signaling by NOTCH3,R-HSA-9013508|NOTCH3 Intracellular Domain Regulates Transcription
R-HSA-9012999|RHO GTPase cycle,R-HSA-8980692|RHOA GTPase cycle
R-HSA-9012999|RHO GTPase cycle,R-HSA-9013026|RHOB GTPase cycle
R-HSA-9012999|RHO GTPase cycle,R-HSA-9013106|RHOC GTPase cycle
R-HSA-9012999|RHO GTPase cycle,R-HSA-9013148|CDC42 GTPase cycle
R-HSA-9012999|RHO GTPase cycle,R-HSA-9013149|RAC1 GTPase cycle
R-HSA-9012999|RHO GTPase cycle,R-HSA-9013404|RAC2 GTPase cycle
R-HSA-9012999|RHO GTPase cycle,R-HSA-9013405|RHOD GTPase cycle
R-HSA-9012999|RHO GTPase cycle,R-HSA-9013406|RHOQ GTPase cycle
R-HSA-9012999|RHO GTPase cycle,R-HSA-9013407|RHOH GTPase cycle
R-HSA-9012999|RHO GTPase cycle,R-HSA-9013408|RHOG GTPase cycle
R-HSA-9012999|RHO GTPase cycle,R-HSA-9013409|RHOJ GTPase cycle
R-HSA-9012999|RHO GTPase cycle,R-HSA-9013420|RHOU GTPase cycle
R-HSA-9012999|RHO GTPase cycle,R-HSA-9013423|RAC3 GTPase cycle
R-HSA-9012999|RHO GTPase cycle,R-HSA-9013424|RHOV GTPase cycle
R-HSA-9012999|RHO GTPase cycle,R-HSA-9035034|RHOF GTPase cycle
R-HSA-9012999|RHO GTPase cycle,R-HSA-9696264|RND3 GTPase cycle
R-HSA-9012999|RHO GTPase cycle,R-HSA-9696270|RND2 GTPase cycle
R-HSA-9012999|RHO GTPase cycle,R-HSA-9696273|RND1 GTPase cycle
R-HSA-9012999|RHO GTPase cycle,R-HSA-9706574|RHOBTB GTPase Cycle
R-HSA-9013694|Signaling by NOTCH4,R-HSA-9013695|NOTCH4 Intracellular Domain Regulates Transcription
R-HSA-9013694|Signaling by NOTCH4,R-HSA-9604323|Negative regulation of NOTCH4 signaling
R-HSA-9013973|TICAM1-dependent activation of IRF3/IRF7,"R-HSA-9828211|Regulation of TBK1, IKK蔚-mediated activation of IRF3, IRF7 upon TLR3 ligation"
R-HSA-9020591|Interleukin-12 signaling,R-HSA-8950505|Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation
R-HSA-9020702|Interleukin-1 signaling,R-HSA-445989|TAK1-dependent IKK and NF-kappa-B activation  
R-HSA-9024446|NR1H2 and NR1H3-mediated signaling,R-HSA-9029569|NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux
R-HSA-909733|Interferon alpha/beta signaling,R-HSA-912694|Regulation of IFNA/IFNB signaling
R-HSA-913531|Interferon Signaling,R-HSA-1169410|Antimicrobial mechanism of IFN-stimulated genes
R-HSA-913531|Interferon Signaling,R-HSA-877300|Interferon gamma signaling
R-HSA-913531|Interferon Signaling,R-HSA-909733|Interferon alpha/beta signaling
R-HSA-913531|Interferon Signaling,R-HSA-9909505|Modulation of host responses by IFN-stimulated genes
R-HSA-913709|O-linked glycosylation of mucins,R-HSA-977068|Termination of O-glycan biosynthesis
R-HSA-917937|Iron uptake and transport,R-HSA-917977|Transferrin endocytosis and recycling
R-HSA-927802|Nonsense-Mediated Decay (NMD),R-HSA-975956|Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)
R-HSA-927802|Nonsense-Mediated Decay (NMD),R-HSA-975957|Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
"R-HSA-936964|Activation of IRF3, IRF7 mediated by TBK1, IKK蔚 (IKBKE)","R-HSA-9824878|Regulation of TBK1, IKK蔚 (IKBKE)-mediated activation of IRF3, IRF7 "
R-HSA-937061|TRIF (TICAM1)-mediated TLR4 signaling ,R-HSA-445989|TAK1-dependent IKK and NF-kappa-B activation  
R-HSA-937061|TRIF (TICAM1)-mediated TLR4 signaling ,R-HSA-450294|MAP kinase activation
R-HSA-937061|TRIF (TICAM1)-mediated TLR4 signaling ,"R-HSA-936964|Activation of IRF3, IRF7 mediated by TBK1, IKK蔚 (IKBKE)"
R-HSA-937061|TRIF (TICAM1)-mediated TLR4 signaling ,R-HSA-937041|IKK complex recruitment mediated by RIP1
R-HSA-937061|TRIF (TICAM1)-mediated TLR4 signaling ,R-HSA-937072|TRAF6-mediated induction of TAK1 complex within TLR4 complex
R-HSA-948021|Transport to the Golgi and subsequent modification,R-HSA-199977|ER to Golgi Anterograde Transport
R-HSA-948021|Transport to the Golgi and subsequent modification,R-HSA-975576|N-glycan antennae elongation in the medial/trans-Golgi
R-HSA-9607240|FLT3 Signaling,R-HSA-9706369|Negative regulation of FLT3
R-HSA-9609507|Protein localization,R-HSA-1268020|Mitochondrial protein import
R-HSA-9609507|Protein localization,R-HSA-9033241|Peroxisomal protein import
R-HSA-9609507|Protein localization,R-HSA-9609523|Insertion of tail-anchored proteins into the endoplasmic reticulum membrane
R-HSA-9609646|HCMV Infection,R-HSA-9609690|HCMV Early Events
R-HSA-9609646|HCMV Infection,R-HSA-9610379|HCMV Late Events
R-HSA-9612973|Autophagy,R-HSA-1632852|Macroautophagy
R-HSA-9612973|Autophagy,R-HSA-9613829|Chaperone Mediated Autophagy
R-HSA-9612973|Autophagy,R-HSA-9615710|Late endosomal microautophagy
R-HSA-9614085|FOXO-mediated transcription,R-HSA-9614657|FOXO-mediated transcription of cell death genes
R-HSA-9614085|FOXO-mediated transcription,"R-HSA-9615017|FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes"
R-HSA-9614085|FOXO-mediated transcription,R-HSA-9617828|FOXO-mediated transcription of cell cycle genes
R-HSA-9634815|Transcriptional Regulation by NPAS4,R-HSA-9768759|Regulation of NPAS4 gene expression
R-HSA-9634815|Transcriptional Regulation by NPAS4,R-HSA-9768919|NPAS4 regulates expression of target genes
R-HSA-9635486|Infection with Mycobacterium tuberculosis,R-HSA-9637690|Response of Mtb to phagocytosis
R-HSA-9640148|Infection with Enterobacteria,R-HSA-9956593|Enterobacterial factors antagonize host defense 
R-HSA-9645723|Diseases of programmed cell death,R-HSA-9734009|Defective Intrinsic Pathway for Apoptosis
R-HSA-9658195|Leishmania infection,R-HSA-9664407|Parasite infection
R-HSA-9658195|Leishmania infection,R-HSA-9664420|Killing mechanisms
R-HSA-9658195|Leishmania infection,R-HSA-9664424|Cell recruitment (pro-inflammatory response)
R-HSA-9658195|Leishmania infection,R-HSA-9664433|Leishmania parasite growth and survival
R-HSA-9659379|Sensory processing of sound,R-HSA-9662360|Sensory processing of sound by inner hair cells of the cochlea
R-HSA-9659379|Sensory processing of sound,R-HSA-9662361|Sensory processing of sound by outer hair cells of the cochlea
R-HSA-9659787|Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,"R-HSA-9661069|Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)"
R-HSA-9662851|Anti-inflammatory response favouring Leishmania parasite infection,R-HSA-9660821|ADORA2B mediated anti-inflammatory cytokines production
R-HSA-9662851|Anti-inflammatory response favouring Leishmania parasite infection,R-HSA-9664323|FCGR3A-mediated IL10 synthesis
R-HSA-9663891|Selective autophagy,R-HSA-5205647|Mitophagy
R-HSA-9663891|Selective autophagy,R-HSA-9646399|Aggrephagy
R-HSA-9663891|Selective autophagy,R-HSA-9664873|Pexophagy
R-HSA-9664407|Parasite infection,R-HSA-9664417|Leishmania phagocytosis
R-HSA-9664417|Leishmania phagocytosis,R-HSA-9664422|FCGR3A-mediated phagocytosis
R-HSA-9664420|Killing mechanisms,R-HSA-9673324|WNT5:FZD7-mediated leishmania damping
R-HSA-9664424|Cell recruitment (pro-inflammatory response),R-HSA-9660826|Purinergic signaling in leishmaniasis infection
R-HSA-9664433|Leishmania parasite growth and survival,R-HSA-9662851|Anti-inflammatory response favouring Leishmania parasite infection
R-HSA-9669938|Signaling by KIT in disease,"R-HSA-9670439|Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants"
R-HSA-9671555|Signaling by PDGFR in disease,"R-HSA-9673767|Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants"
R-HSA-9671555|Signaling by PDGFR in disease,R-HSA-9673770|Signaling by PDGFRA extracellular domain mutants
R-HSA-9674555|Signaling by CSF3 (G-CSF),R-HSA-9705462|Inactivation of CSF3 (G-CSF) signaling
R-HSA-9675108|Nervous system development,R-HSA-422475|Axon guidance
R-HSA-9675108|Nervous system development,R-HSA-9619665|EGR2 and SOX10-mediated initiation of Schwann cell myelination
R-HSA-9675126|Diseases of mitotic cell cycle,R-HSA-9687139|Aberrant regulation of mitotic cell cycle due to RB1 defects
R-HSA-9675135|Diseases of DNA repair,R-HSA-9675136|Diseases of DNA Double-Strand Break Repair
R-HSA-9675136|Diseases of DNA Double-Strand Break Repair,R-HSA-9701190|Defective homologous recombination repair (HRR) due to BRCA2 loss of function
R-HSA-9675136|Diseases of DNA Double-Strand Break Repair,R-HSA-9701192|Defective homologous recombination repair (HRR) due to BRCA1 loss of function
R-HSA-9675136|Diseases of DNA Double-Strand Break Repair,R-HSA-9701193|Defective homologous recombination repair (HRR) due to PALB2 loss of function
R-HSA-9678108|SARS-CoV-1 Infection,R-HSA-9683701|Translation of Structural Proteins
R-HSA-9678108|SARS-CoV-1 Infection,R-HSA-9692914|SARS-CoV-1-host interactions
R-HSA-9679506|SARS-CoV Infections,R-HSA-9678108|SARS-CoV-1 Infection
R-HSA-9679506|SARS-CoV Infections,R-HSA-9679191|Potential therapeutics for SARS
R-HSA-9679506|SARS-CoV Infections,R-HSA-9694516|SARS-CoV-2 Infection
R-HSA-9682385|FLT3 signaling in disease,R-HSA-9703465|Signaling by FLT3 fusion proteins
R-HSA-9682385|FLT3 signaling in disease,R-HSA-9703648|Signaling by FLT3 ITD and TKD mutants
R-HSA-9683701|Translation of Structural Proteins,R-HSA-9683610|Maturation of nucleoprotein
R-HSA-9686114|Non-canonical inflammasome activation,R-HSA-9948001|CASP4 inflammasome assembly
R-HSA-9687139|Aberrant regulation of mitotic cell cycle due to RB1 defects,R-HSA-9659787|Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects
R-HSA-9692914|SARS-CoV-1-host interactions,R-HSA-9692916|SARS-CoV-1 activates/modulates innate immune responses
R-HSA-9692914|SARS-CoV-1-host interactions,R-HSA-9735869|SARS-CoV-1 modulates host translation machinery
R-HSA-9694516|SARS-CoV-2 Infection,R-HSA-9705683|SARS-CoV-2-host interactions
R-HSA-9694516|SARS-CoV-2 Infection,R-HSA-9772572|Early SARS-CoV-2 Infection Events
R-HSA-9694516|SARS-CoV-2 Infection,R-HSA-9772573|Late SARS-CoV-2 Infection Events
R-HSA-9694635|Translation of Structural Proteins,R-HSA-9694548|Maturation of spike protein
R-HSA-9694635|Translation of Structural Proteins,R-HSA-9694631|Maturation of nucleoprotein
R-HSA-9700206|Signaling by ALK in cancer,R-HSA-9700645|ALK mutants bind TKIs
R-HSA-9700206|Signaling by ALK in cancer,R-HSA-9725370|Signaling by ALK fusions and activated point mutants
R-HSA-9701190|Defective homologous recombination repair (HRR) due to BRCA2 loss of function,R-HSA-9709570|Impaired BRCA2 binding to RAD51
R-HSA-9701190|Defective homologous recombination repair (HRR) due to BRCA2 loss of function,R-HSA-9709603|Impaired BRCA2 binding to PALB2
R-HSA-9701193|Defective homologous recombination repair (HRR) due to PALB2 loss of function,R-HSA-9704331|Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function
R-HSA-9701193|Defective homologous recombination repair (HRR) due to PALB2 loss of function,R-HSA-9704646|Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function
R-HSA-9705683|SARS-CoV-2-host interactions,R-HSA-9705671|SARS-CoV-2 activates/modulates innate and adaptive immune responses
R-HSA-9705683|SARS-CoV-2-host interactions,R-HSA-9754678|SARS-CoV-2 modulates host translation machinery
R-HSA-9706574|RHOBTB GTPase Cycle,R-HSA-9013418|RHOBTB2 GTPase cycle
R-HSA-9706574|RHOBTB GTPase Cycle,R-HSA-9013422|RHOBTB1 GTPase cycle
R-HSA-9709957|Sensory Perception,R-HSA-2187338|Visual phototransduction
R-HSA-9709957|Sensory Perception,R-HSA-381753|Olfactory Signaling Pathway
R-HSA-9709957|Sensory Perception,R-HSA-9659379|Sensory processing of sound
R-HSA-9709957|Sensory Perception,R-HSA-9717189|Sensory perception of taste
R-HSA-9711097|Cellular response to starvation,R-HSA-9633012|Response of EIF2AK4 (GCN2) to amino acid deficiency
R-HSA-9711097|Cellular response to starvation,R-HSA-9639288|Amino acids regulate mTORC1
R-HSA-9711123|Cellular response to chemical stress,R-HSA-3299685|Detoxification of Reactive Oxygen Species
R-HSA-9711123|Cellular response to chemical stress,R-HSA-9707564|Cytoprotection by HMOX1
R-HSA-9711123|Cellular response to chemical stress,R-HSA-9755511|KEAP1-NFE2L2 pathway
"R-HSA-9716542|Signaling by Rho GTPases, Miro GTPases and RHOBTB3",R-HSA-194315|Signaling by Rho GTPases
R-HSA-9717189|Sensory perception of taste,"R-HSA-9717207|Sensory perception of sweet, bitter, and umami (glutamate) taste"
R-HSA-9725370|Signaling by ALK fusions and activated point mutants,R-HSA-9725371|Nuclear events stimulated by ALK signaling in cancer
R-HSA-9730414|MITF-M-regulated melanocyte development,R-HSA-9856649|Transcriptional and post-translational regulation of MITF-M expression and activity
R-HSA-9730414|MITF-M-regulated melanocyte development,R-HSA-9856651|MITF-M-dependent gene expression
R-HSA-9734009|Defective Intrinsic Pathway for Apoptosis,R-HSA-8863678|Neurodegenerative Diseases
R-HSA-9734767|Developmental Cell Lineages,R-HSA-9820448|Developmental Cell Lineages of the Exocrine Pancreas
R-HSA-9748784|Drug ADME,R-HSA-9753281|Paracetamol ADME
R-HSA-975138|TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,R-HSA-445989|TAK1-dependent IKK and NF-kappa-B activation  
R-HSA-975138|TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,R-HSA-450294|MAP kinase activation
R-HSA-975138|TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,R-HSA-975163|IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation
R-HSA-975155|MyD88 dependent cascade initiated on endosome,R-HSA-975138|TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation
R-HSA-9755511|KEAP1-NFE2L2 pathway,R-HSA-9759194|Nuclear events mediated by NFE2L2
R-HSA-975871|MyD88 cascade initiated on plasma membrane,R-HSA-445989|TAK1-dependent IKK and NF-kappa-B activation  
R-HSA-975871|MyD88 cascade initiated on plasma membrane,R-HSA-450294|MAP kinase activation
R-HSA-9758941|Gastrulation,R-HSA-9793380|Formation of paraxial mesoderm
R-HSA-9759194|Nuclear events mediated by NFE2L2,R-HSA-9762114|GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2
R-HSA-9759194|Nuclear events mediated by NFE2L2,R-HSA-9818026|NFE2L2 regulating inflammation associated genes
R-HSA-9759194|Nuclear events mediated by NFE2L2,R-HSA-9818027|NFE2L2 regulating anti-oxidant/detoxification enzymes
R-HSA-9759194|Nuclear events mediated by NFE2L2,R-HSA-9818028|NFE2L2 regulates pentose phosphate pathway genes
R-HSA-9759194|Nuclear events mediated by NFE2L2,R-HSA-9818030|NFE2L2 regulating tumorigenic genes
R-HSA-9759194|Nuclear events mediated by NFE2L2,R-HSA-9818749|Regulation of NFE2L2 gene expression
R-HSA-9759475|Regulation of CDH11 Expression and Function,R-HSA-9759811|Regulation of CDH11 mRNA translation by microRNAs
R-HSA-9759476|Regulation of Homotypic Cell-Cell Adhesion,R-HSA-9764260|Regulation of Expression and Function of Type II Classical Cadherins
R-HSA-9759476|Regulation of Homotypic Cell-Cell Adhesion,R-HSA-9764274|Regulation of Expression and Function of Type I Classical Cadherins
R-HSA-9764260|Regulation of Expression and Function of Type II Classical Cadherins,R-HSA-9759475|Regulation of CDH11 Expression and Function
R-HSA-9764265|Regulation of CDH1 Expression and Function,R-HSA-9764560|Regulation of CDH1 Gene Transcription
R-HSA-9764265|Regulation of CDH1 Expression and Function,R-HSA-9764561|Regulation of CDH1 Function
R-HSA-9764265|Regulation of CDH1 Expression and Function,R-HSA-9764562|Regulation of CDH1 mRNA translation by microRNAs
R-HSA-9764265|Regulation of CDH1 Expression and Function,R-HSA-9768727|Regulation of CDH1 posttranslational processing and trafficking to plasma membrane
R-HSA-9764274|Regulation of Expression and Function of Type I Classical Cadherins,R-HSA-9764265|Regulation of CDH1 Expression and Function
R-HSA-9764560|Regulation of CDH1 Gene Transcription,R-HSA-9764725|Negative Regulation of CDH1 Gene Transcription
